Date,Open,High,Low,Close,Volume
2008-01-28,106.68,107.03,105.98,106.89,0
2008-01-29,106.86,107.23,106.38,107.08,0
2008-01-30,107.1,107.46,106.19,106.27,0
2008-01-31,106.24,106.86,105.69,106.41,0
2008-02-01,106.4,106.73,105.75,106.42,0
2008-02-04,106.92,107.08,106.57,106.67,0
2008-02-05,106.69,107.72,106.56,106.78,0
2008-02-06,106.8,106.85,106.18,106.59,0
2008-02-07,106.52,107.78,105.9,107.48,0
2008-02-08,107.46,107.72,107.14,107.36,0
2008-02-11,107.35,107.66,106.32,106.94,0
2008-02-12,106.96,107.51,106.75,107.33,0
2008-02-13,107.28,108.37,106.98,108.31,0
2008-02-14,108.19,108.59,107.75,107.84,0
2008-02-15,107.83,108.3,107.26,107.69,0
2008-02-18,107.84,108.31,107.72,108.2,0
2008-02-19,108.21,108.28,107.2,107.73,0
2008-02-20,107.77,108.35,107.46,108.13,0
2008-02-21,108.09,108.32,107.14,107.38,0
2008-02-22,107.39,107.57,106.73,106.92,0
2008-02-25,107.31,108.21,107.14,108.05,0
2008-02-26,108.04,108.13,107.17,107.3,0
2008-02-27,107.26,107.38,105.97,106.44,0
2008-02-28,106.44,106.62,105.06,105.31,0
2008-02-29,105.34,105.37,103.82,103.94,0
2008-03-03,103.06,103.68,102.59,103.43,0
2008-03-04,103.47,103.58,102.64,103.33,0
2008-03-05,103.35,104.16,103.26,104.02,0
2008-03-06,104.01,104.01,102.53,102.63,0
2008-03-07,102.64,103.22,101.42,102.55,0
2008-03-10,102.5,102.51,101.55,101.71,0
2008-03-11,101.73,103.59,101.4,103.42,0
2008-03-12,103.43,103.52,101.08,101.34,0
2008-03-13,101.33,101.69,99.75,100.43,0
2008-03-14,100.32,101.1,98.9,99.25,0
2008-03-17,98.49,99.1,95.78,97.22,0
2008-03-18,97.29,100.07,96.84,100.02,0
2008-03-19,100.03,100.43,97.68,98.61,0
2008-03-20,98.93,100.19,98.45,99.3,0
2008-03-21,99.48,99.73,99.01,99.57,0
2008-03-24,99.37,100.88,99.36,100.57,0
2008-03-25,100.72,101.02,99.61,99.98,0
2008-03-26,99.97,100.3,98.87,99.18,0
2008-03-27,98.99,100.15,98.56,99.67,0
2008-03-28,99.64,100.38,99.09,99.19,0
2008-03-31,99.03,100.15,98.81,99.91,0
2008-04-01,99.9,102.14,99.6,101.77,0
2008-04-02,101.87,102.83,101.51,102.29,0
2008-04-03,102.29,102.94,102.06,102.26,0
2008-04-04,102.24,102.68,101.44,101.46,0
2008-04-07,101.58,102.83,101.51,102.37,0
2008-04-08,102.35,102.67,101.75,102.55,0
2008-04-09,102.57,102.82,101.49,101.72,0
2008-04-10,101.73,102.03,100.03,101.76,0
2008-04-11,101.75,102.25,100.64,100.97,0
2008-04-14,101.1,101.49,100.3,101.09,0
2008-04-15,101.11,101.87,100.79,101.83,0
2008-04-16,101.83,101.92,100.82,101.78,0
2008-04-17,101.77,102.71,101.69,102.5,0
2008-04-18,102.51,104.64,102.25,103.67,0
2008-04-21,103.78,104.06,102.98,103.24,0
2008-04-22,103.23,103.52,102.67,102.86,0
2008-04-23,102.86,103.77,102.74,103.42,0
2008-04-24,103.43,104.53,103.31,104.3,0
2008-04-25,104.3,104.81,103.9,104.41,0
2008-04-28,104.41,104.8,104.05,104.21,0
2008-04-29,104.2,104.35,103.22,104.08,0
2008-04-30,104.07,104.86,103.7,103.97,0
2008-05-01,103.94,104.58,103.54,104.39,0
2008-05-02,104.38,105.69,104.32,105.39,0
2008-05-05,105.34,105.61,104.73,104.93,0
2008-05-06,104.92,105.11,104.02,104.72,0
2008-05-07,104.72,105.57,104.58,104.65,0
2008-05-08,104.67,104.94,103.39,103.75,0
2008-05-09,103.75,103.96,102.6,102.85,0
2008-05-12,102.92,104.03,102.57,103.84,0
2008-05-13,103.84,104.91,103.39,104.67,0
2008-05-14,104.66,105.43,104.57,104.96,0
2008-05-15,105.01,105.28,104.42,104.69,0
2008-05-16,104.7,105.08,103.52,104.03,0
2008-05-19,104.09,104.69,103.62,104.32,0
2008-05-20,104.15,104.21,103.45,103.62,0
2008-05-21,103.62,103.68,103.14,103.25,0
2008-05-22,103.03,104.38,103.0,104.12,0
2008-05-23,104.12,104.25,103.05,103.36,0
2008-05-26,103.31,103.48,103.12,103.37,0
2008-05-27,103.37,104.33,103.25,104.28,0
2008-05-28,104.27,105.3,103.89,104.67,0
2008-05-29,104.66,105.86,104.6,105.57,0
2008-05-30,105.56,105.74,105.23,105.5,0
2008-06-02,105.41,105.52,104.01,104.41,0
2008-06-03,104.43,105.54,103.87,105.14,0
2008-06-04,105.08,105.31,104.53,105.26,0
2008-06-05,105.26,106.41,105.19,105.95,0
2008-06-06,105.94,106.32,104.89,104.91,0
2008-06-09,104.71,106.36,104.46,106.27,0
2008-06-10,106.28,107.44,106.23,107.36,0
2008-06-11,107.35,107.75,106.56,106.82,0
2008-06-12,106.82,108.07,106.8,107.89,0
2008-06-13,107.89,108.37,107.64,108.18,0
2008-06-16,108.08,108.58,107.91,108.2,0
2008-06-17,108.2,108.39,107.59,107.96,0
2008-06-18,107.96,108.42,107.71,107.85,0
2008-06-19,107.66,108.06,107.43,107.93,0
2008-06-20,107.94,108.06,107.12,107.32,0
2008-06-23,107.24,108.05,107.14,107.85,0
2008-06-24,107.8,108.19,107.35,107.83,0
2008-06-25,107.81,108.42,107.65,107.87,0
2008-06-26,107.84,108.18,106.61,106.85,0
2008-06-27,106.84,107.19,105.85,106.13,0
2008-06-30,106.19,106.46,104.99,106.07,0
2008-07-01,106.08,106.37,105.22,106.03,0
2008-07-02,106.03,106.76,105.78,105.83,0
2008-07-03,105.83,106.92,105.77,106.77,0
2008-07-04,106.79,106.88,106.59,106.79,0
2008-07-07,106.8,107.75,106.65,107.13,0
2008-07-08,107.12,107.53,106.24,107.43,0
2008-07-09,107.49,107.64,106.67,106.8,0
2008-07-10,106.8,107.4,106.7,107.05,0
2008-07-11,107.06,107.29,105.65,106.28,0
2008-07-14,106.63,106.8,106.03,106.18,0
2008-07-15,106.18,106.26,104.16,104.63,0
2008-07-16,104.64,105.18,103.77,105.09,0
2008-07-17,105.08,107.07,104.74,106.16,0
2008-07-18,106.15,106.98,105.97,106.94,0
2008-07-21,106.94,107.14,106.36,106.44,0
2008-07-22,106.42,107.43,106.05,107.29,0
2008-07-23,107.29,107.97,107.16,107.91,0
2008-07-24,107.92,107.97,107.18,107.39,0
2008-07-25,107.38,107.94,106.57,107.82,0
2008-07-28,107.86,108.07,107.34,107.49,0
2008-07-29,107.48,108.27,107.31,108.15,0
2008-07-30,108.15,108.33,107.7,108.07,0
2008-07-31,108.07,108.38,107.56,107.83,0
2008-08-01,107.85,107.89,107.28,107.68,0
2008-08-04,107.67,108.28,107.46,108.2,0
2008-08-05,108.19,108.39,107.66,108.29,0
2008-08-06,108.28,109.87,108.21,109.59,0
2008-08-07,109.59,109.68,109.12,109.33,0
2008-08-08,109.34,110.36,109.29,110.17,0
2008-08-11,110.23,110.39,109.54,110.12,0
